TIC ID;TOI;TESS Disposition;TFOPWG Disposition;Source;Period (days);Period (days) err;Date TOI Alerted (UTC);Date TOI Updated (UTC);Date Modified;Comments
231663901;101.01;KP;KP;spoc;143.036.914.033.977;0.0000009228199;05/09/2018;07/10/2021;29/10/2021 00:00;WASP-46 b
149603524;102.01;KP;KP;qlp;44.119.288;0.0000158;07/05/2019;24/08/2021;29/10/2021 00:00;WASP 62 b
336732616;103.01;KP;KP;spoc;3.547.854;0.000149;05/09/2018;27/10/2020;29/10/2021 00:00;HATS-3 b
231670397;104.01;KP;KP;spoc;408.729.939.632.711;0.0000041056146;05/09/2018;01/12/2021;07/12/2021 12:08;WASP-73 b
144065872;105.01;KP;KP;spoc-s01-s36-b0A-CPKP;218.466.694.872.065;0.0000004851188;05/09/2018;08/12/2021;21/12/2021 12:05;WASP-95
38846515;106.01;KP;KP;qlp;28.493.824;0.0000042;07/05/2019;26/08/2021;29/10/2021 00:00;WASP-100b
92352620;107.01;KP;KP;spoc;395.020.094.278.708;0.000001600228;05/09/2018;07/10/2021;29/10/2021 00:00;WASP-94 A b
289793076;108.01;KP;KP;spoc;30.440.540.665.342;0.00000425771;05/09/2018;20/10/2021;29/10/2021 00:00;HATS-13 b
29344935;109.01;KP;KP;spoc;2.766.747.877.062;0.0000045420184;05/09/2018;02/12/2021;07/12/2021 12:08;HATS-14 b
281459670;110.01;KP;KP;spoc;317.434.739.143.305;0.000002150323;14/11/2018;03/12/2021;07/12/2021 12:08;HATS-30 b
355703913;111.01;KP;KP;spoc;210.616.073.391.332;0.0000037834607;22/10/2018;02/12/2021;07/12/2021 12:08;HATS-34 b
388104525;112.01;KP;KP;spoc;249.979.959.810.286;0.00000044218152;07/05/2019;02/12/2021;07/12/2021 12:08;WASP-119 b
97409519;113.01;KP;KP;spoc;3.372.877;0.000147;05/09/2018;27/10/2020;29/10/2021 00:00;WASP-124
25155310;114.01;KP;KP;spoc;328.878.776.139.412;0.0000005280507;07/05/2019;02/12/2021;07/12/2021 12:08;WASP-126 b
281541555;115.01;KP;KP;spoc;474.237.847.689.397;0.000007232835;22/10/2018;07/10/2021;29/10/2021 00:00;HATS-46 b
238176110;116.01;KP;KP;spoc-s01-s36-b0A-CPKP;279.857.944.060.727;0.00000063140624;05/09/2018;09/12/2021;21/12/2021 12:05;WASP-91 b
322307342;117.01;KP;KP;spoc;358.629.619.986.471;0.00015300933;05/09/2018;07/10/2021;29/10/2021 00:00;HATS-68 b
266980320;118.01;CP;CP;spoc;603.445.687.781.177;0.0000098619;05/09/2018;07/10/2021;29/10/2021 00:00;HD 219666 b
278683844;119.01;PC;PC;qlp;55.411.063;0.0000115;07/05/2019;19/08/2021;29/10/2021 00:00;Some depth-aperture correlation. TFOP work in progress. Multi candidate. Centroid offset but not centered on another star.
278683844;119.02;PC;PC;qlp;106.917.564;0.0000318;17/05/2019;26/08/2021;29/10/2021 00:00;outer candidate in potential multi
394137592;120.01;CP;CP;sector-01-spoc-alerts;11.535.076;0.001035;05/09/2018;07/12/2021;08/12/2021 00:00;"HD 1397 b	"
207081058;121.01;PC;APC;qlp;1.476.367;0.00027;05/09/2018;27/10/2020;29/10/2021 00:00;low-mass EB
231702397;122.01;CP;CP;spoc;507.802.548.638.435;0.000013443171;05/09/2018;01/12/2021;07/12/2021 12:08;TOI-122 b
290131778;123.01;CP;CP;spoc;330.887.730.524.169;0.000001385715;05/09/2018;20/10/2021;29/10/2021 00:00;HD 202772 A b
29831208;124.01;PC;APC;qlp;1.842.799;0.0000022;04/12/2018;28/01/2021;29/10/2021 00:00;known TOI
52368076;125.01;CP;CP;spoc;465.179.058.475.914;0.00002239795;19/10/2018;02/12/2021;07/12/2021 12:08;TOI-125 b / TOI 125.01
52368076;125.02;CP;CP;spoc-s01-s36-b0A-CPKP;915.466.210.597.647;0.000043547956;19/10/2018;09/12/2021;21/12/2021 12:05;TOI-125 c / TOI-125.02
52368076;125.03;CP;CP;spoc-s01-s36-b0A-CPKP;199.812.508.989.029;0.000113433714;19/10/2018;09/12/2021;21/12/2021 12:05;period is likely correct but possibly two independent single transits
